INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,CN104055,OPEN,COMPLAINT,small,-87.774081,41.877726,CONSERVATION
FAILED,CN131016,OPEN,COMPLAINT,small,-87.640922,41.766417,CONSERVATION
FAILED,CN065034,OPEN,COMPLAINT,small,-87.772628,41.914387,CONSERVATION
PASSED,ELL1422,COMPLIED,PERMIT,small,-87.696114,41.918067,ELECTRICAL
FAILED,CN197087,OPEN,COMPLAINT,small,-87.757247,41.904155,CONSERVATION
FAILED,VT1010,OPEN,PERMIT,small,-87.821094,42.002671,VENTILATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.587879,41.787997,CONSERVATION
FAILED,EV1110,COMPLIED,PERMIT,small,-87.620534,41.853651,ELEVATOR
FAILED,CN111085,OPEN,COMPLAINT,small,-87.661399,41.806004,SPECIAL TASK FORCE
FAILED,CN065014,OPEN,PERIODIC,small,-87.836759,41.976942,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.699695,41.791674,CONSERVATION
FAILED,CN067024,OPEN,PERIODIC,small,-87.617517,41.825753,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.605210,41.745080,SPECIAL TASK FORCE
FAILED,CN105025,OPEN,COMPLAINT,small,-87.618680,41.703233,CONSERVATION
PASSED,BR2080,COMPLIED,PERIODIC,small,-87.710362,41.970363,BOILER
PASSED,EV1111,COMPLIED,PERMIT,small,-87.626009,41.902300,ELEVATOR
FAILED,CN070024,OPEN,COMPLAINT,small,-87.682559,41.923197,CONSERVATION
FAILED,CN198019,OPEN,PERIODIC,small,-87.622611,41.863660,CONSERVATION
FAILED,CN046013,OPEN,COMPLAINT,small,-87.604531,41.730696,CONSERVATION
FAILED,CN062024,OPEN,COMPLAINT,small,-87.646250,41.748185,CONSERVATION
FAILED,EV1110,OPEN,PERIODIC,small,-87.640450,41.940213,ELEVATOR
FAILED,CN134066,OPEN,COMPLAINT,small,-87.545932,41.735186,CONSERVATION
FAILED,CN100003,OPEN,COMPLAINT,small,-87.816696,41.945283,CONSERVATION
FAILED,VT1010,OPEN,COMPLAINT,small,-87.621934,41.896877,VENTILATION
FAILED,CN031013,OPEN,PERIODIC,small,-87.625711,41.855731,CONSERVATION
FAILED,CN105035,OPEN,COMPLAINT,small,-87.640539,41.677223,SPECIAL TASK FORCE
FAILED,CN079014,OPEN,COMPLAINT,small,-87.613475,41.735502,CONSERVATION
FAILED,CN061024,COMPLIED,COMPLAINT,small,-87.719295,41.863536,CONSERVATION
FAILED,CN017012,OPEN,PERIODIC,small,-87.645166,41.923026,SPECIAL INSPECTION PROGRAM
FAILED,EV1111,OPEN,PERIODIC,small,-87.680687,42.005989,ELEVATOR
FAILED,CN197019,OPEN,COMPLAINT,small,-87.689149,41.952972,CONSERVATION
FAILED,CN134016,OPEN,COMPLAINT,small,-87.669676,41.762428,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.721172,41.903954,CONSERVATION
FAILED,CN107035,OPEN,PERIODIC,small,-87.635262,41.895469,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.748903,41.890337,CONSERVATION
FAILED,CN070014,OPEN,PERIODIC,small,-87.674080,41.941276,CONSERVATION
FAILED,CN134076,OPEN,COMPLAINT,small,-87.660940,41.752103,CONSERVATION
FAILED,CN105025,COMPLIED,COMPLAINT,small,-87.581554,41.763220,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.725019,41.938266,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.725860,41.899136,CONSERVATION
FAILED,NC1010,OPEN,COMPLAINT,small,-87.654431,41.945830,SPECIAL INSPECTION PROGRAM
FAILED,CN073014,OPEN,COMPLAINT,small,-87.582551,41.764490,CONSERVATION
FAILED,CN132016,OPEN,COMPLAINT,small,-87.554195,41.748518,SPECIAL TASK FORCE
FAILED,EL0029,OPEN,COMPLAINT,small,-87.756515,41.951569,CONSERVATION
FAILED,NC2022,OPEN,COMPLAINT,small,-87.645303,41.747238,NEW CONSTRUCTION
FAILED,EL0009,OPEN,COMPLAINT,small,-87.730086,41.904526,ELECTRICAL
FAILED,CN063024,OPEN,COMPLAINT,small,-87.744513,41.969309,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.674161,41.828033,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.718952,41.905866,CONSERVATION
FAILED,CN062024,OPEN,COMPLAINT,small,-87.688767,41.782742,CONSERVATION
FAILED,CN061034,OPEN,COMPLAINT,small,-87.729664,41.961963,SPECIAL TASK FORCE
FAILED,CN131026,COMPLIED,COMPLAINT,small,-87.711074,41.937627,CONSERVATION
FAILED,IR0085,OPEN,COMPLAINT,small,-87.704967,41.966766,IRON
FAILED,CN063024,OPEN,COMPLAINT,small,-87.563308,41.760732,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.655289,41.858766,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.746460,41.879377,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.780029,41.911133,CONSERVATION
FAILED,CN015012,OPEN,PERIODIC,small,-87.637620,41.763375,SPECIAL INSPECTION PROGRAM
FAILED,CN101015,OPEN,COMPLAINT,small,-87.555167,41.751508,CONSERVATION
FAILED,CN031023,OPEN,PERIODIC,small,-87.715609,41.966650,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.687136,41.871951,CONSERVATION
FAILED,EV1110,OPEN,PERIODIC,small,-87.688128,41.830333,ELEVATOR
FAILED,EV1111,OPEN,PERIODIC,small,-87.658191,41.994076,ELEVATOR
FAILED,CN104015,OPEN,COMPLAINT,small,-87.710795,41.878836,CONSERVATION
FAILED,CN198019,OPEN,PERIODIC,small,-87.752597,41.883764,CONSERVATION
FAILED,PL237020,OPEN,COMPLAINT,small,-87.646476,41.857078,SPECIAL TASK FORCE
FAILED,CN138056,OPEN,COMPLAINT,small,-87.603194,41.818097,CONSERVATION
FAILED,CN065034,OPEN,COMPLAINT,small,-87.725873,41.941080,CONSERVATION
FAILED,CN075014,OPEN,COMPLAINT,small,-87.740969,41.779842,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.614554,41.742873,PLUMBING
FAILED,CN104035,OPEN,PERIODIC,small,-87.722783,41.961056,CONSERVATION
FAILED,CN132016,OPEN,COMPLAINT,small,-87.780029,41.911133,CONSERVATION
FAILED,CN197019,OPEN,PERIODIC,small,-87.613360,41.803169,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.768253,41.923345,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.695661,41.863088,CONSERVATION
FAILED,CN077014,OPEN,COMPLAINT,small,-87.714974,41.964634,CONSERVATION
FAILED,NC2020,OPEN,COMPLAINT,small,-87.622261,41.792530,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.675539,41.930205,CONSERVATION
FAILED,CN103015,OPEN,COMPLAINT,small,-87.589372,41.756092,CONSERVATION
FAILED,CN063014,OPEN,PERIODIC,small,-87.560015,41.751215,CONSERVATION
FAILED,CN136026,OPEN,COMPLAINT,small,-87.658401,41.783846,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.610699,41.770805,SPECIAL TASK FORCE
FAILED,CN102015,OPEN,PERIODIC,small,-87.565244,41.755745,CONSERVATION
FAILED,EV1110,OPEN,PERIODIC,small,-87.703693,41.887103,ELEVATOR
FAILED,CN197087,OPEN,COMPLAINT,small,-87.649097,41.752761,CONSERVATION
FAILED,CN107035,OPEN,PERIODIC,small,-87.643684,41.928260,CONSERVATION
FAILED,CN190020,OPEN,COMPLAINT,small,-87.611740,41.764057,CONSERVATION
FAILED,EV1210,OPEN,PERIODIC,small,-87.647470,41.880554,ELEVATOR
FAILED,EV1111,OPEN,PERMIT,large,-87.617768,41.843794,ELEVATOR
FAILED,CN065014,OPEN,COMPLAINT,small,-87.703791,41.796590,CONSERVATION
FAILED,PL160017,COMPLIED,COMPLAINT,small,-87.732835,41.878674,CONSERVATION
FAILED,CN134016,OPEN,COMPLAINT,small,-87.640111,41.680535,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.706989,41.904481,CONSERVATION
FAILED,CN011012,OPEN,PERIODIC,small,-87.657923,41.948736,SPECIAL INSPECTION PROGRAM
FAILED,EV1111,OPEN,PERIODIC,small,-87.643099,41.711660,ELEVATOR
FAILED,EV1110,OPEN,PERIODIC,small,-87.685762,41.906778,ELEVATOR
FAILED,CN197019,OPEN,COMPLAINT,small,-87.763817,41.925943,CONSERVATION
PASSED,VT1010,OPEN,PERMIT,small,-87.699849,41.694378,VENTILATION
FAILED,CN078014,OPEN,COMPLAINT,small,-87.687294,41.780921,CONSERVATION
FAILED,CN104035,OPEN,COMPLAINT,small,-87.625402,41.694265,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.714136,41.919036,CONSERVATION
FAILED,NC5042,OPEN,PERIODIC,small,-87.656331,41.915956,CONSERVATION
FAILED,CN041063,OPEN,COMPLAINT,small,-87.651366,41.856061,CONSERVATION
FAILED,CN138056,OPEN,COMPLAINT,small,-87.813172,41.950237,CONSERVATION
FAILED,PL171027,OPEN,COMPLAINT,small,-87.648982,41.748541,PLUMBING
FAILED,CN138056,OPEN,COMPLAINT,small,-87.573712,41.752798,CONSERVATION
FAILED,CN104035,OPEN,COMPLAINT,small,-87.664950,41.936862,CONSERVATION
FAILED,EL0096,OPEN,COMPLAINT,small,-87.621994,41.835028,SIGNS
FAILED,CN066034,OPEN,COMPLAINT,small,-87.616682,41.673660,CONSERVATION
FAILED,CN138056,OPEN,COMPLAINT,small,-87.773548,41.889922,CONSERVATION
FAILED,NC1010,OPEN,COMPLAINT,small,-87.631952,41.703303,SPECIAL TASK FORCE
FAILED,CN197019,OPEN,COMPLAINT,small,-87.719953,41.849135,CONSERVATION
FAILED,EL0023,OPEN,COMPLAINT,small,-87.608214,41.699298,SPECIAL TASK FORCE
PASSED,VT1010,COMPLIED,PERMIT,small,-87.692541,42.000326,VENTILATION
FAILED,CN073014,OPEN,COMPLAINT,small,-87.574867,41.764238,CONSERVATION
FAILED,EV1110,OPEN,PERIODIC,small,-87.656289,41.977148,ELEVATOR
FAILED,EV1111,OPEN,PERIODIC,small,-87.718519,41.960954,ELEVATOR
FAILED,EL0096,OPEN,COMPLAINT,small,-87.774278,41.909380,SIGNS
FAILED,CN197087,OPEN,COMPLAINT,small,-87.559108,41.757801,CONSERVATION
FAILED,EV1111,OPEN,PERIODIC,small,-87.746960,41.909505,ELEVATOR
FAILED,CN062034,OPEN,COMPLAINT,small,-87.752632,41.884753,CONSERVATION
FAILED,CN067024,OPEN,PERIODIC,small,-87.655912,41.930709,CONSERVATION
FAILED,CN065014,OPEN,COMPLAINT,small,-87.577104,41.738314,CONSERVATION
FAILED,CN061074,OPEN,COMPLAINT,small,-87.674020,41.849079,CONSERVATION
FAILED,EL0085,OPEN,COMPLAINT,small,-87.757264,41.880455,SPECIAL TASK FORCE
PASSED,BR2080,COMPLIED,PERIODIC,small,-87.717963,41.903785,BOILER
FAILED,RF301031,OPEN,PERMIT,small,-87.685544,41.771835,REFRIGERATION
PASSED,EV1111,COMPLIED,PERIODIC,small,-87.700483,41.990904,ELEVATOR
FAILED,CN196029,OPEN,COMPLAINT,small,-87.699573,41.776771,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.767641,41.968350,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.764714,41.906421,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.691491,41.919655,CONSERVATION
FAILED,CN131016,OPEN,PERIODIC,small,-87.604575,41.812205,CONSERVATION
FAILED,CN076054,OPEN,COMPLAINT,small,-87.704332,41.825271,CONSERVATION
FAILED,CN197039,OPEN,COMPLAINT,small,-87.620315,41.767642,CONSERVATION
FAILED,NC2021,OPEN,COMPLAINT,small,-87.665863,41.862475,CONSERVATION
FAILED,CN074014,OPEN,COMPLAINT,small,-87.607724,41.652811,SPECIAL TASK FORCE
FAILED,CN190019,OPEN,PERIODIC,small,-87.646018,41.923331,SPECIAL INSPECTION PROGRAM
FAILED,CN104015,OPEN,COMPLAINT,small,-87.662631,41.771215,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.613413,41.696485,CONSERVATION
FAILED,EV1110,OPEN,PERMIT,small,-87.628152,41.897411,ELEVATOR
FAILED,CN198019,OPEN,COMPLAINT,small,-87.718378,41.967634,CONSERVATION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.657112,41.792445,CONSERVATION
FAILED,CN135016,OPEN,PERIODIC,small,-87.604869,41.732511,CONSERVATION
PASSED,EL0081,COMPLIED,PERMIT,small,-87.719791,41.843368,ELECTRICAL
FAILED,CN065014,OPEN,COMPLAINT,small,-87.753084,41.898233,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.657112,41.792445,SPECIAL TASK FORCE
FAILED,CN071014,OPEN,COMPLAINT,small,-87.688661,41.743409,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.642197,41.843453,CONSERVATION
PASSED,ELGB03,COMPLIED,PERMIT,small,-87.733122,41.852361,ELECTRICAL
FAILED,PL237058,OPEN,PERIODIC,small,-87.603437,41.797800,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.660581,41.774490,CONSERVATION
FAILED,CN131016,OPEN,COMPLAINT,small,-87.711475,41.863004,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.764974,41.938704,CONSERVATION
FAILED,CN076044,OPEN,PERIODIC,small,-87.640695,41.778854,SPECIAL INSPECTION PROGRAM
PASSED,BR2080,COMPLIED,PERIODIC,small,-87.739175,41.973264,BOILER
FAILED,CEL308,OPEN,COMPLAINT,small,-87.667469,41.897164,CONSTRUCTION EQUIPMENT
FAILED,CN190029,OPEN,PERIODIC,small,-87.711195,41.984111,CONSERVATION
FAILED,CN194019,OPEN,COMPLAINT,small,-87.641863,41.776038,VENTILATION
FAILED,CN063014,OPEN,COMPLAINT,small,-87.584662,41.755907,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.667760,41.770415,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.762627,41.975338,CONSERVATION
FAILED,CN073014,OPEN,COMPLAINT,small,-87.728155,41.867151,CONSERVATION
FAILED,EL0096,OPEN,COMPLAINT,small,-87.715646,41.960989,SIGNS
FAILED,CN106015,OPEN,PERIODIC,small,-87.628908,41.903828,SPECIAL INSPECTION PROGRAM
FAILED,EL0085,OPEN,PERMIT,small,-87.715054,41.908981,ELECTRICAL
FAILED,CN063014,OPEN,COMPLAINT,small,-87.724907,41.901801,CONSERVATION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.753042,41.881606,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.599275,41.778403,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.727607,41.916326,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.631200,41.767399,NEW CONSTRUCTION
FAILED,EL0003,OPEN,COMPLAINT,small,-87.612856,41.759958,ELECTRICAL
FAILED,CN070014,COMPLIED,COMPLAINT,small,-87.736455,41.782407,CONSERVATION
FAILED,EL0096,OPEN,COMPLAINT,small,-87.663739,41.768350,SIGNS
FAILED,PL237014,OPEN,COMPLAINT,small,-87.703603,41.990310,SPECIAL TASK FORCE
FAILED,CN070024,OPEN,COMPLAINT,small,-87.605796,41.722775,CONSERVATION
FAILED,CN133016,OPEN,COMPLAINT,small,-87.570283,41.751569,CONSERVATION
FAILED,CN063024,OPEN,COMPLAINT,small,-87.751005,41.901696,SPECIAL TASK FORCE
FAILED,NC6042,OPEN,COMPLAINT,small,-87.666360,41.939618,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.735771,41.942884,CONSERVATION
FAILED,CN015062,OPEN,COMPLAINT,small,-87.579155,41.763139,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.722506,41.941347,CONSERVATION
FAILED,CN061014,OPEN,PERIODIC,small,-87.585660,41.799463,CONSERVATION
FAILED,EV1110,COMPLIED,PERIODIC,small,-87.657731,41.994475,ELEVATOR
FAILED,CN074014,OPEN,COMPLAINT,small,-87.692036,41.849324,CONSERVATION
FAILED,CN070024,COMPLIED,COMPLAINT,small,-87.710708,41.741552,CONSERVATION
FAILED,EL0043,OPEN,COMPLAINT,small,-87.710163,41.980522,SPECIAL TASK FORCE
FAILED,CN194029,OPEN,COMPLAINT,small,-87.720907,41.880968,CONSERVATION
PASSED,EL0010,COMPLIED,COMPLAINT,small,-87.709220,41.857646,ELECTRICAL
PASSED,VT1010,COMPLIED,PERMIT,small,-87.675854,41.954085,VENTILATION
PASSED,EL0085,COMPLIED,PERMIT,small,-87.747781,41.933452,ELECTRICAL
FAILED,CN070024,OPEN,COMPLAINT,small,-87.557913,41.661970,CONSERVATION
FAILED,CN107015,OPEN,COMPLAINT,small,-87.659369,41.729219,CONSERVATION
FAILED,CN131016,OPEN,COMPLAINT,small,-87.586994,41.749164,CONSERVATION
FAILED,CN138106,OPEN,COMPLAINT,small,-87.709064,41.778061,CONSERVATION
FAILED,CN077014,OPEN,COMPLAINT,small,-87.615830,41.782570,CONSERVATION
FAILED,RF301091,OPEN,PERIODIC,small,-87.654172,41.940020,REFRIGERATION
FAILED,CN136016,OPEN,PERIODIC,small,-87.838288,41.977350,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.723751,41.938886,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.621828,41.675409,CONSERVATION
FAILED,NC2071,OPEN,COMPLAINT,small,-87.618403,41.691915,CONSERVATION
FAILED,PL154027,OPEN,COMPLAINT,small,-87.652714,41.763405,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.722935,41.779660,NEW CONSTRUCTION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.607807,41.763412,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.671625,41.996957,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.605122,41.773257,CONSERVATION
PASSED,VT1010,COMPLIED,PERMIT,small,-87.673928,41.894934,VENTILATION
FAILED,EL0085,OPEN,PERMIT,small,-87.708392,41.999543,ELECTRICAL
