INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,NC2071,OPEN,COMPLAINT,small,-87.781912,41.948551,CONSERVATION
FAILED,CN101015,OPEN,COMPLAINT,small,-87.619846,41.770962,CONSERVATION
FAILED,EL0027,OPEN,COMPLAINT,small,-87.687771,41.881258,ELECTRICAL
FAILED,CN101015,OPEN,COMPLAINT,small,-87.630215,41.684632,CONSERVATION
FAILED,CN065034,OPEN,COMPLAINT,small,-87.660457,41.780692,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.686843,41.925019,CONSERVATION
FAILED,PL232040,OPEN,COMPLAINT,small,-87.681999,41.762294,SPECIAL TASK FORCE
PASSED,EV1111,COMPLIED,PERIODIC,small,-87.654840,41.976482,ELEVATOR
FAILED,CN104015,OPEN,COMPLAINT,small,-87.649406,41.776134,CONSERVATION
FAILED,EL0010,OPEN,COMPLAINT,small,-87.666743,41.789210,ELECTRICAL
FAILED,CN138056,OPEN,COMPLAINT,small,-87.646093,41.836453,CONSERVATION
FAILED,CN198019,OPEN,PERIODIC,small,-87.664118,41.781387,CONSERVATION
FAILED,CN067014,OPEN,PERIODIC,small,-87.658344,41.746697,CONSERVATION
FAILED,EL0016,OPEN,COMPLAINT,small,-87.720044,41.940799,ELECTRICAL
FAILED,CN101015,OPEN,COMPLAINT,small,-87.696729,41.902821,CONSERVATION
FAILED,CN073024,COMPLIED,COMPLAINT,small,-87.758155,41.929677,CONSERVATION
FAILED,CN073054,OPEN,COMPLAINT,small,-87.604507,41.782847,CONSERVATION
FAILED,VT1030,OPEN,PERMIT,small,-87.781566,41.941941,VENTILATION
FAILED,NC2020,OPEN,COMPLAINT,small,-87.664733,42.004364,CONSERVATION
FAILED,CN106015,OPEN,COMPLAINT,small,-87.719085,41.861507,CONSERVATION
FAILED,EV1111,OPEN,PERIODIC,small,-87.696784,41.905005,ELEVATOR
PASSED,EV1310,COMPLIED,PERMIT,small,-87.678635,41.910354,ELEVATOR
FAILED,VT1010,OPEN,COMPLAINT,small,-87.691409,41.968483,VENTILATION
FAILED,EL0024,OPEN,COMPLAINT,small,-87.710259,41.891945,SPECIAL TASK FORCE
FAILED,CN198019,OPEN,PERIODIC,small,-87.647245,41.794394,CONSERVATION
FAILED,PL157047,OPEN,COMPLAINT,small,-87.615844,41.783181,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.741870,41.883279,CONSERVATION
FAILED,CN077014,OPEN,COMPLAINT,small,-87.664246,41.786658,CONSERVATION
FAILED,NC2022,OPEN,COMPLAINT,small,-87.626961,41.742624,NEW CONSTRUCTION
FAILED,CN196029,OPEN,PERIODIC,small,-87.729145,41.956232,CONSERVATION
PASSED,BR1001,COMPLIED,PERIODIC,small,-87.645974,41.918304,BOILER
FAILED,EV1110,OPEN,PERMIT,small,-87.622894,41.893469,ELEVATOR
FAILED,EL0009,OPEN,COMPLAINT,small,-87.716591,41.859616,SPECIAL TASK FORCE
FAILED,PL152017,OPEN,COMPLAINT,small,-87.680808,41.774793,SPECIAL TASK FORCE
FAILED,CN193000,OPEN,COMPLAINT,large,-87.608040,41.772220,SPECIAL TASK FORCE
FAILED,EL0027,OPEN,PERIODIC,small,-87.657041,41.992714,CONSERVATION
FAILED,CN076034,OPEN,COMPLAINT,small,-87.674294,41.896975,CONSERVATION
FAILED,CN138106,OPEN,COMPLAINT,small,-87.712225,41.845188,CONSERVATION
FAILED,CN140026,OPEN,COMPLAINT,small,-87.649468,41.836306,CONSERVATION
FAILED,CN074014,OPEN,PERIODIC,small,-87.700565,41.984614,SPECIAL INSPECTION PROGRAM
FAILED,NC2011,OPEN,COMPLAINT,small,-87.728758,41.996244,CONSERVATION
FAILED,CN140016,OPEN,COMPLAINT,small,-87.628358,41.749605,CONSERVATION
FAILED,EV1111,OPEN,PERIODIC,small,-87.617816,41.845653,ELEVATOR
PASSED,ELSW02,COMPLIED,PERMIT,small,-87.621444,41.812466,ELECTRICAL
FAILED,CN062024,OPEN,COMPLAINT,small,-87.596507,41.750376,CONSERVATION
FAILED,CN106015,OPEN,PERIODIC,small,-87.653039,41.938853,CONSERVATION
FAILED,EV1110,OPEN,PERMIT,small,-87.629106,41.876470,ELEVATOR
FAILED,CN104025,OPEN,COMPLAINT,small,-87.700667,41.928329,CONSERVATION
FAILED,CN064014,OPEN,COMPLAINT,small,-87.753767,41.879503,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.667387,41.746772,CONSERVATION
FAILED,CN062024,OPEN,COMPLAINT,small,-87.655536,41.778319,CONSERVATION
PASSED,EV1310,COMPLIED,PERMIT,small,-87.786365,41.922802,ELEVATOR
FAILED,CN070014,OPEN,COMPLAINT,small,-87.777082,41.977279,CONSERVATION
FAILED,CN073044,OPEN,COMPLAINT,small,-87.673921,41.785465,CONSERVATION
PASSED,EV1111,COMPLIED,PERMIT,small,-87.621934,41.896877,ELEVATOR
FAILED,CN138106,OPEN,COMPLAINT,small,-87.706466,41.947186,CONSERVATION
FAILED,CN101015,OPEN,COMPLAINT,small,-87.601674,41.750552,CONSERVATION
FAILED,CN135016,OPEN,COMPLAINT,small,-87.663555,41.748958,CONSERVATION
FAILED,CN136016,OPEN,COMPLAINT,small,-87.609582,41.773844,CONSERVATION
FAILED,VT1010,OPEN,PERMIT,small,-87.750342,41.948024,VENTILATION
FAILED,CN132046,OPEN,COMPLAINT,small,-87.671930,41.990978,CONSERVATION
FAILED,CN065034,OPEN,COMPLAINT,small,-87.672443,41.809980,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.779198,41.923290,CONSERVATION
FAILED,PL157037,OPEN,COMPLAINT,small,-87.762461,41.929612,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.669120,41.951183,CONSERVATION
FAILED,CN041063,OPEN,COMPLAINT,small,-87.632256,41.761044,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.701974,41.918422,CONSERVATION
FAILED,CN101025,OPEN,PERIODIC,small,-87.551422,41.730845,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.603690,41.795591,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.626478,41.756506,CONSERVATION
FAILED,NC3042,OPEN,COMPLAINT,small,-87.610365,41.778624,CONSERVATION
FAILED,CN135016,OPEN,COMPLAINT,small,-87.660457,41.780692,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.773164,41.868699,CONSERVATION
FAILED,CN197087,OPEN,PERIODIC,small,-87.757442,41.865816,CONSERVATION
FAILED,CN190020,OPEN,PERIODIC,small,-87.724458,41.845747,CONSERVATION
FAILED,EL0029,OPEN,COMPLAINT,small,-87.697785,41.878438,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.773298,41.928517,CONSERVATION
FAILED,CN103015,OPEN,PERIODIC,small,-87.621718,41.785482,CONSERVATION
FAILED,CN041063,OPEN,COMPLAINT,small,-87.554214,41.732017,CONSERVATION
FAILED,CN079014,OPEN,COMPLAINT,small,-87.609478,41.722857,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.759593,41.905008,CONSERVATION
FAILED,CN069034,OPEN,COMPLAINT,small,-87.623786,41.788673,CONSERVATION
FAILED,CN073044,OPEN,COMPLAINT,small,-87.714004,41.954158,CONSERVATION
PASSED,VT1010,COMPLIED,PERMIT,small,-87.652764,41.913091,VENTILATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.688786,41.996980,CONSERVATION
FAILED,EL0036,OPEN,PERIODIC,small,-87.662281,41.890054,CONSERVATION
PASSED,CN061014,COMPLIED,COMPLAINT,small,-87.624927,41.669097,CONSERVATION
FAILED,CN076044,OPEN,PERIODIC,small,-87.728857,41.883435,CONSERVATION
FAILED,CN031013,OPEN,PERIODIC,small,-87.624248,41.860117,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.610527,41.774786,CONSERVATION
PASSED,VT1010,COMPLIED,PERMIT,small,-87.672966,41.893134,VENTILATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.668031,41.780692,CONSERVATION
PASSED,EL0095,COMPLIED,COMPLAINT,small,-87.765136,41.966685,ELECTRICAL
FAILED,CN021053,OPEN,PERIODIC,small,-87.652339,41.887446,SPECIAL INSPECTION PROGRAM
FAILED,CN194029,OPEN,COMPLAINT,small,-87.755142,41.874735,CONSERVATION
FAILED,CN065034,OPEN,COMPLAINT,small,-87.622865,41.679946,CONSERVATION
FAILED,CN140016,OPEN,COMPLAINT,small,-87.655709,41.761282,CONSERVATION
FAILED,NC2071,OPEN,COMPLAINT,small,-87.610259,41.752364,CONSERVATION
FAILED,EV1111,OPEN,PERIODIC,small,-87.677931,41.895785,ELEVATOR
FAILED,CN070034,OPEN,COMPLAINT,small,-87.651723,41.840493,CONSERVATION
FAILED,CN066034,OPEN,COMPLAINT,small,-87.669054,41.833320,CONSERVATION
FAILED,CN105015,OPEN,PERIODIC,small,-87.621843,41.780622,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.631160,41.765899,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.761744,41.912650,CONSERVATION
FAILED,CN067014,OPEN,COMPLAINT,small,-87.693218,41.778102,CONSERVATION
FAILED,CN101015,OPEN,COMPLAINT,small,-87.683226,41.883812,CONSERVATION
FAILED,CN101015,OPEN,COMPLAINT,small,-87.701599,41.887469,SPECIAL INSPECTION PROGRAM
FAILED,CN073014,OPEN,COMPLAINT,small,-87.614587,41.784783,CONSERVATION
FAILED,VT1010,OPEN,PERMIT,small,-87.611570,41.892094,VENTILATION
